player_name,recent_team,pos,g,p_att,cmp,p_yd,p_td,int,car,r_yd,r_td,tgt,rec,rec_yd,rec_td,fmb,tp_c,f_ppr,tgt_share,ypc,ypr,cmp_pct,td_rate
K.Yeboah,NYJ,TE,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,47.0,1.0,0.0,0.0,15.7,,,9.4,,
T.Conklin,NYJ,TE,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,51.0,449.0,4.0,0.0,1.0,121.9,,0.0,8.803921568627452,,
A.Lazard,NYJ,WR,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,37.0,530.0,6.0,0.0,0.0,126.0,61.0,,14.324324324324325,0.0,0.0
D.Adams,NYJ,WR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,67.0,854.0,7.0,0.0,1.0,196.4,,,12.746268656716419,,
G.Wilson,NYJ,WR,17,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,153.0,101.0,1104.0,7.0,0.0,1.0,251.9,,2.5,10.930693069306932,,
I.Charles,NYJ,WR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
M.Corley,NYJ,WR,5,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,6.0,3.0,16.0,0.0,0.0,0.0,7.2,,13.0,5.333333333333333,,
M.Williams,NYJ,WR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,166.0,0.0,0.0,0.0,28.6,,,13.833333333333334,,
X.Gipson,NYJ,WR,7,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,10.0,6.0,39.0,1.0,0.0,0.0,16.4,,5.0,6.5,,
B.VanSumeren,PHI,FB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,
J.Hurts,PHI,QB,15,361.0,248.0,2903.0,18.0,5.0,150.0,630.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,315.12,0.0,4.2,,0.6869806094182825,0.04986149584487535
K.Pickett,PHI,QB,5,42.0,25.0,291.0,2.0,1.0,9.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14,0.0,1.6666666666666667,,0.5952380952380952,0.047619047619047616
T.McKee,PHI,QB,2,45.0,30.0,323.0,4.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.82,0.0,-0.2,,0.6666666666666666,0.08888888888888889
K.Gainwell,PHI,RB,16,0.0,0.0,0.0,0.0,0.0,75.0,290.0,1.0,22.0,16.0,116.0,0.0,0.0,0.0,62.6,,3.8666666666666667,7.25,,
S.Barkley,PHI,RB,16,0.0,0.0,0.0,0.0,0.0,345.0,2005.0,13.0,43.0,33.0,278.0,2.0,1.0,3.0,355.3,,5.811594202898551,8.424242424242424,,
